soglia,precision,recall,f1
0.2,0.6649992183836173,0.9776858468095775,0.7915824374730396
0.25,0.6986621619583415,0.9678241611299152,0.8115063549486261
0.3,0.7315082496126755,0.9568969119552045,0.8291587837532022
0.35,0.7647348491280501,0.9409552463332079,0.843742096240855
0.4,0.7946008968609866,0.9255568091596674,0.8550940045554569
0.45,0.8206359971365058,0.9101374785842631,0.8630725947059756
0.5,0.8441120167354108,0.8936525845138106,0.8681761440329636
0.55,0.866032950491783,0.8775228782750407,0.8717400554177607
0.6,0.8904029335821382,0.8573816388784422,0.8735803467838934
0.65,0.9113802996493465,0.8362793029961139,0.8722161691000218
0.7,0.9318001586042823,0.8101416572646358,0.8667225481978206
